timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,orientation_qx,orientation_qy,orientation_qz,orientation_qw
26239821289,1.1263839105591178,1.4101017757236958,-1.3569167135030031,2.1193060874938965,-1.1593676805496216,1.3982123136520386,-24.92688751220703,-26.291690826416016,-40.08740234375,-0.2650392193998859,-0.0628508743378326,-0.8324660948265841,-0.482497830023038
26249895263,1.0445733500957488,1.9748764701500532,-1.1326958701848984,2.28987979888916,-0.7433578372001648,1.7698508501052856,-26.00186920166016,-26.788806915283203,-39.22418212890625,-0.2749763739817836,-0.0676005706520555,-0.8340180405915003,-0.4735313834523244
26259969238,1.9621444143489,1.435685129791498,-1.1208961267977953,2.241577625274658,-0.2145167887210846,2.37028431892395,-26.724571228027344,-26.92831039428711,-38.5140380859375,-0.2830970362248109,-0.073085104675031,-0.8373071550483328,-0.4619862255536776
26270043212,1.7809756540328263,0.7921993022218347,-1.04343353241086,2.1604669094085693,0.5527183413505554,2.6935629844665527,-27.35540771484375,-27.338054656982425,-38.42822265625,-0.2884527098765861,-0.0789616794092049,-0.8424275371920611,-0.4481919734817576
26280117187,0.7372621356368064,1.787844955280423,-0.1349485686719417,2.056624412536621,1.2994461059570312,2.545927762985229,-27.689682006835938,-27.338787078857425,-37.8253173828125,-0.2903254283618128,-0.0859787285099776,-0.8486101635601856,-0.4337967810442077
26290190185,-0.153950498522818,2.083433290980756,-0.0491249731749296,2.0813682079315186,1.5507802963256836,1.9991021156311035,-28.1669921875,-27.54507827758789,-37.70050048828125,-0.2894424536271573,-0.0945394523965329,-0.8546154319694809,-0.4206160313498867
26300264404,-1.2311316944956778,1.6498694400027394,-0.7306009241819381,2.215064525604248,1.134997010231018,1.1220911741256714,-28.41024780273437,-27.711292266845703,-37.858642578125,-0.2888459082436945,-0.1042271602130452,-0.8586944128302665,-0.4103031356934404
26310338134,-1.8697943396925925,1.777468522694707,-1.1856991460978985,2.431202888488769,0.3260380923748016,0.0691142678260803,-28.276763916015625,-28.109241485595703,-37.06195068359375,-0.2906919868878239,-0.1148192270154582,-0.8595843479266687,-0.4042640770365886
26320412109,-2.429489538897574,2.40193166988641,-1.4305880989134312,2.64459228515625,-0.6622278690338135,-0.9116740822792052,-28.11260223388672,-28.83544540405273,-36.31793212890625,-0.2963911886518972,-0.1259416981929201,-0.8567406381546693,-0.4028479231786522
26330486083,-2.5126792787596584,2.8116990502133965,-1.9044740234076976,2.8002734184265137,-1.3653178215026855,-1.6180909872055054,-28.125343322753903,-29.94546890258789,-35.92010498046875,-0.3056250638685031,-0.1373656464798693,-0.8505622131091161,-0.4052998794714775
26340560058,-2.141702232336998,2.593328978750109,-2.2931623753488064,2.84413480758667,-1.6080951690673828,-1.9598455429077148,-28.10078430175781,-31.140369415283203,-34.92913818359375,-0.316583725165514,-0.1490543183339627,-0.8423094499331033,-0.4099662013380863
26350634277,-1.4356728548318147,2.1531763970315456,-2.6718478041917084,2.885369777679444,-1.489233136177063,-2.099919557571411,-27.932785034179688,-32.65023422241211,-33.212158203125,-0.3276786585569153,-0.1609836396712769,-0.8331124303709816,-0.4154932591763701
26360708251,-0.6619017742261291,2.157388461768627,-2.408528291672468,3.056867837905884,-0.7942821383476257,-2.167198896408081,-27.643356323242188,-34.310794830322266,-31.938720703125,-0.3371676764555345,-0.174281997972787,-0.823899918567198,-0.4208714391902863
26370781005,-0.3801397193044424,2.3921318681448698,-1.027920321458578,2.9634127616882324,0.535404622554779,-1.843754291534424,-27.16315460205078,-35.73353958129883,-30.9921875,-0.3424565814004185,-0.1898600714140276,-0.8163153940382406,-0.4246242197785008
26380855224,-0.2721533918380737,1.6685054591506718,0.216189512553811,2.699507713317871,1.4977214336395264,-1.4445226192474363,-26.72984313964844,-37.408451080322266,-29.8980712890625,-0.3426522357197489,-0.2063300758377074,-0.8116881098710382,-0.4256521647849645
